group,index,smiles
Group2,7,Cc1ccc(C(=O)Nc2ccc(CN3CCN(CC)CC3)c(C(F)(F)F)c2)cc1C#Cc1cnc2cccnn12
Group2,8,Cc1ccc(C(=O)Nc2ccc(CN3CCN(Cc4ccccc4)CC3)c(C(F)(F)F)c2)cc1C#Cc1cnc2cccnn12
Group2,9,Cc1ccc(C(=O)Nc2ccc(CN3CCOCC3)c(C(F)(F)F)c2)cc1C#Cc1cnc2cccnn12
Group2,10,Cc1ccc(C(=O)Nc2ccc(CN3CCCCC3)c(C(F)(F)F)c2)cc1C#Cc1cnc2cccnn12
Group2,11,Cc1ccc(C(=O)Nc2ccc(CN3CCN(C)CC3)c(C(F)(F)F)c2)cc1C#Cc1ccncc1
Group2,12,Cc1ccc(C(=O)Nc2ccc(CN3CCN(C)CC3)c(C(F)(F)F)c2)cc1C#Cc1ccccc1
Group3,1,C1CCN(CC1)CCOC2=C3COC/C=C/COCC4=CC(=CC=C4)C5=NC(=NC=C5)NC(=C3)C=C2
Group3,2,C1COCCN1CCOC2=C3COC/C=C/COCC4=CC(=CC=C4)C5=NC(=NC=C5)NC(=C3)C=C2
Group3,3,CN1CCN(CC1)CCOC2=C3COC/C=C/COCC4=CC(=CC=C4)C5=NC(=NC=C5)NC(=C3)C=C2
Group3,4,C1CN(C1)CCOC2=C3COC/C=C/COCC4=CC(=CC=C4)C5=NC(=NC=C5)NC(=C3)C=C2
Group3,5,CN(C)CCOC2=C3COC/C=C/COCC4=CC(=CC=C4)C5=NC(=NC=C5)NC(=C3)C=C2
Group3,6,CCN(CC)CCOC2=C3COC/C=C/COCC4=CC(=CC=C4)C5=NC(=NC=C5)NC(=C3)C=C2
Group3,7,N1CCN(CC1)CCOC2=C3COC/C=C/COCC4=CC(=CC=C4)C5=NC(=NC=C5)NC(=C3)C=C2
Group3,8,S1CCN(CC1)CCOC2=C3COC/C=C/COCC4=CC(=CC=C4)C5=NC(=NC=C5)NC(=C3)C=C2
Group3,9,CC(=O)N1CCN(CC1)CCOC2=C3COC/C=C/COCC4=CC(=CC=C4)C5=NC(=NC=C5)NC(=C3)C=C2
Group3,10,CN(CCO)CCOC2=C3COC/C=C/COCC4=CC(=CC=C4)C5=NC(=NC=C5)NC(=C3)C=C2
Group4,1,Nc1ncc(Nc2ccccc2)nc1
Group4,2,Nc1ncc(Nc2ccc(F)cc2)nc1
Group4,3,Nc1ncc(Nc2ccc(Cl)cc2)nc1
Group4,4,Nc1ncc(Nc2ccc(Br)cc2)nc1
Group4,5,Nc1ncc(Nc2ccc(C)cc2)nc1
Group4,6,Nc1ncc(Nc2ccc(OC)cc2)nc1
Group4,7,Nc1ncc(Nc2ccc(C#N)cc2)nc1
Group4,8,Nc1ncc(Nc2ccc(C(F)(F)F)cc2)nc1
Group4,9,Nc1ncc(Nc2ccc(N(C)C)cc2)nc1
Group4,10,Nc1ncc(Nc2ccc(S(C)(=O)=O)cc2)nc1
Group4,11,Nc1ncc(Nc2cc(F)ccc2)nc1
Group4,12,Nc1ncc(Nc2cc(Cl)ccc2)nc1
Group4,13,Nc1ncc(Nc2cc(C)ccc2)nc1
Group4,14,Nc1ncc(Nc2cc(OC)ccc2)nc1
Group4,15,Nc1ncc(Nc2cc(C#N)ccc2)nc1
Group4,16,Nc1ncc(Nc2cc(F)c(F)cc2)nc1
Group4,17,Nc1ncc(Nc2cc(Cl)c(F)cc2)nc1
Group4,18,Nc1ncc(Nc2cc(C)c(F)cc2)nc1
Group4,19,Nc1ncc(Nc2cc(OC)c(F)cc2)nc1
Group4,20,Nc1ncc(Nc2cc(C(F)(F)F)c(F)cc2)nc1
Group5,1,CC1=CC(=C(C=C1N2CCC(CC2)N3CCN(CC3)C)OC)NC4=NC=C(C(=N4)NC5=C(C6=NC=CN=C6C=C5)P(=O)(C)C)Br
Group6,1,C1CC1(C(=O)NC2=CC=C(C=C2)OC3=C4C=C(NC4=NC=C3)C(=O)NCCN5CCOCC5)C(=O)NC6=CC=C(C=C6)F
